case,model,order,version,n,time_sec
1,2,12,2,30,0.0346163148060441
1,2,12,2,40,0.04610075429081917
1,2,12,2,50,0.05772189004346728
1,2,12,2,60,0.06890638684853911
1,2,12,2,70,0.08071235381066799
1,2,12,2,80,0.09185554878786206
1,2,12,2,90,0.1041254960000515
1,2,12,2,100,0.11620044382289052
1,2,12,2,110,0.12751926388591528
1,2,12,2,120,0.13868133118376136
1,2,12,2,130,0.15054607391357422
1,2,12,2,140,0.16233465680852532
1,2,12,2,150,0.17359912488609552
1,2,12,2,160,0.184924169909209
1,2,12,2,170,0.19711788091808558
1,2,12,2,180,0.20877092611044645
1,2,12,2,190,0.2195368423126638
1,2,12,2,200,0.23054609913378954
1,2,12,2,210,0.24150559026747942
1,2,12,2,220,0.25417008763179183
1,2,12,2,230,0.26530075492337346
1,2,12,2,240,0.2764339284040034
1,2,12,2,250,0.2893377086147666
1,2,12,2,260,0.3002473348751664
1,2,12,2,270,0.3126156236976385
1,2,12,2,280,0.3233454991132021
1,2,12,2,290,0.33507666271179914
1,2,12,2,300,0.34667598688974977
1,2,12,2,310,0.35983267799019814
1,2,12,2,320,0.36957552563399076
1,2,12,2,330,0.38160528102889657
1,2,12,2,340,0.3919452312402427
1,2,12,2,350,0.4051932138390839
1,2,12,2,360,0.41552588203921914
1,2,12,2,370,0.42638518242165446
1,2,12,2,380,0.4382845787331462
1,2,12,2,390,0.4511180380359292
1,2,12,2,400,0.4633543281815946
1,2,12,2,410,0.4747797050513327
1,2,12,2,420,0.4852037620730698
1,2,12,2,430,0.49687707982957363
1,2,12,2,440,0.5086852232925594
1,2,12,2,450,0.5201961928978562
1,2,12,2,460,0.5314966877922416
1,2,12,2,470,0.543864456936717
1,2,12,2,480,0.5545406462624669
1,2,12,2,490,0.5661088121123612
1,2,12,2,500,0.5795776001177728
1,2,12,2,510,0.5894947024062276
1,2,12,2,520,0.6006934582255781
1,2,12,2,530,0.6154753109440207
1,2,12,2,540,0.6249077459797263
1,2,12,2,550,0.6354555529542267
1,2,12,2,560,0.6469265292398632
1,2,12,2,570,0.6607647077180445
1,2,12,2,580,0.6690709730610251
1,2,12,2,590,0.6831308552064002
1,3,2,1,20,0.02279834635555744
1,3,2,1,30,0.03424335177987814
1,3,2,1,40,0.0455925683490932
1,3,2,1,50,0.057141690980643034
1,3,2,1,60,0.06824820395559072
1,3,2,1,70,0.07973804976791143
1,3,2,1,80,0.09093893505632877
1,3,2,1,90,0.10256982874125242
1,3,2,1,100,0.11391174420714378
1,3,2,1,110,0.1250181021168828
1,3,2,1,120,0.13665914302691817
1,3,2,1,130,0.14806102588772774
1,3,2,1,140,0.15917934896424413
1,3,2,1,150,0.170942191965878
1,3,2,1,160,0.18227201281115413
1,3,2,1,170,0.19380541611462831
1,3,2,1,180,0.20452420599758625
1,3,2,1,190,0.21598599990829825
1,3,2,1,200,0.22791959112510085
1,3,2,1,210,0.23882112000137568
1,3,2,1,220,0.24970182916149497
1,3,2,1,230,0.2623433619737625
1,3,2,1,240,0.2733738860115409
1,3,2,1,250,0.2848949832841754
1,3,2,1,260,0.2958658142015338
1,3,2,1,270,0.3072266289964318
1,3,2,1,280,0.3188483011908829
1,3,2,1,290,0.3300407840870321
1,3,2,1,300,0.34144913498312235
1,3,2,1,310,0.3529358231462538
1,3,2,1,320,0.36305373534560204
1,3,2,1,330,0.3749745097011328
1,3,2,1,340,0.38653845619410276
1,3,2,1,350,0.3965254072099924
1,3,2,1,360,0.4075864451006055
1,3,2,1,370,0.41770369466394186
1,3,2,1,380,0.43188296630978584
